Company,Location,Fortune500Rank,Global500Rank,Website,TwitterHandle
McKesson,Irving,7.0,12.0,https://investor.mckesson.com/overview/default.aspx,McKeeson
ExxonMobil,Irving,10.0,23.0,https://corporate.exxonmobil.com/About-us/Contact-us,exxonmobil
AT&T,Dallas,11.0,26.0,https://about.att.com/pages/corporate_profile,ATT
Dell Technologies,Round Rock,28.0,76.0,https://corporate.delltechnologies.com/en-us/index.htm,Dell
Frito-Lay (Pepsi Co),Plano,44.0,131.0,https://contact.pepsico.com/fritolay,Fritolay
Phillips 66,Houston,48.0,143.0,https://www.phillips66.com/about,Phillips66Co
Valero Energy,San Antonio,53.0,164.0,https://www.valero.com/about,ValeroEnergy
Sysco,Houston,60.0,199.0,https://www.sysco.com/Contact/Contact/Contact-Us.html,Sysco
Oracle,Austin,80.0,304.0,https://www.oracle.com/corporate/citizenship/,Oracle
Energy Transfer,Dallas,81.0,305.0,https://www.energytransfer.com/investor-relations/,EnergyTransfer
USAA,San Antonio,87.0,330.0,https://www.usaa.com/inet/wc/about_usaa_corporate_governance_main,USAA
Enterprise Products Partners,Baytown,105.0,448.0,http://www.enterpriseproducts.com/careers,EProd_Careers
Hewlett Packard Enterprise,Houston,106.0,453.0,https://www.hpe.com/us/en/home.html,HPE
CBRE Group,Dallas,122.0,,https://www.cbre.com/about/corporate-responsibility,CBRE
Plains GP Holdings,Houston,127.0,,https://www.plainsallamerican.com/contact-us,
Baker Hughes,Houston,140.0,,https://www.bakerhughes.com/contact-us,bakerhughesco
DR Horton,Arlington,148.0,,https://www.drhorton.com/contact-us-page,DRHorton
ConocoPhillips,Houston,156.0,,https://www.conocophillips.com/contact-us/,conocophillips
Kimberly-Clark,Irving,158.0,,https://www.kimberly-clark.com/en-us/contact-us,KCCorp
Tenet Healthcare,Dallas,167.0,,https://www.tenethealth.com/contact,tenethealth
American Airlines,Fort Worth,174.0,,https://www.aa.com/i18n/customer-service/about-us/about-us.jsp,AmericanAir
Oxcidental Petroleum,Houston,183.0,,https://www.oxy.com/Information/Pages/Contact-Us.aspx,WeAreOxy
Fluor,Irving,196.0,,https://www.fluor.com/contact-us,FluorCorp
Waste Management,Houston,202.0,,https://mediaroom.wm.com/contact/,WasteManagement
Texas Instruments,Dallas,210.0,,https://www.ti.com/info/contact-us.html,TXInstruments
Halliburton,Houston,211.0,,https://www.halliburton.com/en/contact-us,
Core-Mark Holding,Westlake,224.0,,https://www.core-mark.com/about/,CoreMarkCareers
Jacobs Engineering Group,Dallas,225.0,,https://www.jacobs.com/about,JacobsConnects
Charles Schwab,Westlake,251.0,,https://www.aboutschwab.com/,CharlesSchwab
Kinder Morgan,Houston,262.0,,https://www.kindermorgan.com/Contact-Us/Contact-Us,Kinder_Morgan
Vistra,Dallas,274.0,,https://investor.vistracorp.com/contact,
Quanta Services,Houston,278.0,,https://www.quantaservices.com/,Quanta_Services
HollyFrontier,Dallas,279.0,,https://hollyfrontier.com/about-us/corporate-profile/default.aspx,
EOG Resources,Houston,285.0,,https://www.eogresources.com/company,
Group 1 Automotive,Houston,286.0,,https://www.group1corp.com/company-profile,Group1Auto
Cheniere Energy,Houston,328.0,,https://www.cheniere.com/about,Cheniere
Southwest Airlines,Dallas,336.0,,https://mobile.southwest.com/contact-us,SouthwestAir
Centerpoint Energy,Houston,342.0,,https://www.centerpointenergy.com/en-us/corporate/contact-us,centerpoint
Builders FirstSource,Dallas,350.0,,https://www.bldr.com/about-us,BldrFirstSource
Yum China Holdings,Plano,363.0,,https://ir.yumchina.com/about-yum-china,
Targa Resources,Houston,364.0,,https://www.targaresources.com/about-us,
Westlake Chemical,Houston,388.0,,https://www.westlake.com/contact-us,WestlakeChem
Pioneer Natural Resources,Irving,428.0,,https://www.pxd.com/,PXDtweets
NOV,Houston,457.0,,https://www.nov.com/about,NOVGlobal
KBR,Houston,470.0,,https://www.kbr.com/en/contact-us,KBRincorporated
Michaels,Irving,506.0,,https://www.michaels.com/diversity,MichaelsStores
Rackspace,San Antonio,799.0,,https://www.rackspace.com/contact,Rackspace
Toyota North America,Plano,,9.0,https://www.toyota.com/support/contact-us/,Toyota
BP America,Houston,,18.0,https://www.bp.com/en_us/united-states/home/who-we-are/contact-us.html,bp_America
