Company,Location,TexasEmployeesEstimate,Website,TwitterHandle
Walmart,Various,171000.0,https://corporate.walmart.com/,Walmart
H-E-B,Various,90000.0,https://www.heb.com/static-page/contact-us,HEB
Amazon,Various,70000.0,https://www.aboutamazon.com/workplace/corporate-offices,Amazon
AT&T,Dallas,37000.0,https://about.att.com/pages/corporate_profile,ATT
American Airlines,Fort Worth,33000.0,https://www.aa.com/i18n/customer-service/about-us/about-us.jsp,AmericanAir
Home Depot,Various,30000.0,https://corporate.homedepot.com/about,homedepot
Kroger,Various,29000.0,https://www.kroger.com/hc/help/contact-us,kroger
Texas A&M,College Station,26000.0,https://www.tamu.edu/contact-us/index.html,TAMU
Albertsons,Various,25000.0,https://www.albertsons.com/contactus/contact-us-form/commentsAndQuestions/,Albertsons
Target,Various,23500.0,https://corporate.target.com/,TargetNews
University of Texas At Austin,Austin,21000.0,https://www.utexas.edu/contact-us,utaustin
MD Anderson,Houston,20000.0,https://www.mdanderson.org/about-md-anderson/contact-us.html,mdandersonnews
Houston Methodist,Houston,20000.0,https://www.houstonmethodist.org/contact-us/,HMethodistJobs
Memorial Hermann,Houston,20000.0,https://www.memorialhermann.org/about-us/contact-us,memorialhermann
USAA,San Antonio,19000.0,https://www.usaa.com/inet/wc/about_usaa_corporate_governance_main,USAA
Dell Technologies,Round Rock,13000.0,https://corporate.delltechnologies.com/en-us/index.htm,Dell
General Motors,Arlington,13000.0,https://www.gm.com/contact-us.html,GM
University of Texas Medical Branch,Galveston,12000.0,https://www.utmb.edu/contact,utmbnews
Harris Health System,Houston,12000.0,https://www.harrishealth.org/Pages/Contact-Us.aspx,harrishealth
ExxonMobil,Irving,12000.0,https://corporate.exxonmobil.com/About-us/Contact-us,exxonmobil
Texas Instruments,Dallas,11000.0,https://www.ti.com/info/contact-us.html,TXInstruments
Parkland Health and Hospital,Dallas,10089.0,https://www.parklandhospital.com/contact-us,Parkland
Medical City Dallas Hospital,Dallas,10000.0,https://medicalcityhealthcare.com/locations/medical-city-dallas/about/contact-us.dot,MedCityHospital
DXC Technology,Plano,10000.0,https://www.dxc.com/us/en/contact-us,DXCTechnology
University of Houston,Houston,10000.0,https://www.uh.edu/career-opportunities/,Uhouston
Chevron,Houston,10000.0,https://www.chevron.com/about/contact,Chevron
Southwest Airlines,Dallas,10000.0,https://mobile.southwest.com/contact-us,SouthwestAir
Landry's,Houston,10000.0,https://www.landrysinc.com/contact-info,LandrysInc
NASA Johnson Space Center,Houston,9000.0,https://spacecenter.org/visitor-information/,NASA_Johnson
Partsmaster,Irving,8000.0,https://www.partsmaster.com/contact-us/,partsmasterus
Shell Oil,Houston,8000.0,https://www.shell.us/about-us/contact-shell.html,Shell
Dow Chemical,Freeport,7500.0,https://www.dow.com/en-us/contact-us.html,DowNewsroom
Grooming Butler,Houston,7500.0,,
Quexco,Dallas,7000.0,,
Frost Brokerage Services,San Antonio,7000.0,https://www.frostbank.com/support-contact,FrostBank
Toyota North America,Plano,7000.0,https://www.toyota.com/support/contact-us/,Toyota
7-Eleven,Dallas,7000.0,https://corp.7-eleven.com/corp/about,7eleven
University of Texas at San Antonio,San Antonio,6800.0,https://www.utsa.edu/about/,UTSA
Frito-Lay (Pepsi Co),Plano,6500.0,https://contact.pepsico.com/fritolay,Fritolay
Apple,Austin,6500.0,https://www.apple.com/contact/,Apple
University Health System,San Antonio,6200.0,https://www.universityhealthsystem.com/contact-us,univhealthsa
Baylor St. Lukes Medical Center,Houston,6000.0,https://www.stlukeshealth.org/locations/baylor-st-lukes-medical-center/research/contact-us,StLukesHealthTX
Stephen F Austin State University,Nacogdoches,6000.0,https://www.sfasu.edu/contact-us,SFASU
Fidelity Investments,Dallas,6000.0,https://www.fidelity.com/customer-service/contact-us,Fidelity
Childrens Health,Dallas,5800.0,https://www.childrens.com/footer/contact,childrens
Methodist Hospital,San Antonio,5700.0,https://sahealth.com/locations/methodist-hospital/,SAHealth
Harland Clarke Holdings,San Antonio,5000.0,https://www.harlandclarke.com/main/contact,harlandclarke
Stevens Transport,Dallas,5000.0,https://www.stevenstransport.com/about/contact/,Drive4Stevens
Centerpoint Energy,Houston,5000.0,https://www.centerpointenergy.com/en-us/corporate/contact-us,centerpoint
Tesla,Austin,5000.0,https://www.tesla.com/contact,https://twitter.com/Tesla
University of Texas Rio Grande,Edinburg,5000.0,https://www.utrgv.edu/en-us/about-utrgv/contact/index.htm,utrgv
Van Oord Offshore USA,Houston,5000.0,https://www.vanoord.com/en/contact/,
CHRISTUS Santa Rosa Health,San Antonio,5000.0,https://www.christushealth.org/santa-rosa/about/contact-us,csrhs
Capital One,Dallas,5000.0,https://www.capitalone.com/about/corporate-information/,CapitalOne
Halliburton,Houston,5000.0,https://www.halliburton.com/en/contact-us,
BP America,Houston,5000.0,https://www.bp.com/en_us/united-states/home/who-we-are/contact-us.html,bp_America
Enterprise Products Partners,Baytown,5000.0,http://www.enterpriseproducts.com/careers,EProd_Careers
BNSF Railway,Fort Worth,4900.0,https://www.bnsf.com/about-bnsf/contact-us/,BNSFRailway
Baker Hughes,Houston,4800.0,https://www.bakerhughes.com/contact-us,bakerhughesco
Clinical Pathology Labs,Austin,4500.0,https://www.cpllabs.com/contact/,CPL_SW
Cook Childrens Health Care,Fort Worth,4500.0,https://cookchildrens.org/about/Pages/Contact-Us.aspx,CookChildrens
Guckenheimer Enterprises,San Antonio,4500.0,https://www.guckenheimer.com/en-us/contact/contact/contact,guckenheimerUSA
KBR,Houston,4500.0,https://www.kbr.com/en/contact-us,KBRincorporated
Oracle,Austin,4500.0,https://www.oracle.com/corporate/citizenship/,Oracle
Rackspace,San Antonio,4000.0,https://www.rackspace.com/contact,Rackspace
Michaels,Irving,3700.0,https://www.michaels.com/diversity,MichaelsStores
Charles Schwab,Westlake,3200.0,https://www.aboutschwab.com/,CharlesSchwab
CBRE Group,Dallas,3000.0,https://www.cbre.com/about/corporate-responsibility,CBRE
Hewlett Packard Enterprise,Houston,2600.0,https://www.hpe.com/us/en/home.html,HPE
ConocoPhillips,Houston,2000.0,https://www.conocophillips.com/contact-us/,conocophillips
AECOM,Dallas,1200.0,https://aecom.com/contact-us/,AECOM
Google (Alphabet),Austin,800.0,https://about.google/,Google
Zoho,Austin,500.0,https://www.zoho.com/contactus.html,zoho
DR Horton,Arlington,500.0,https://www.drhorton.com/contact-us-page,DRHorton
McKesson,Irving,500.0,https://investor.mckesson.com/overview/default.aspx,McKeeson
